"index","obj","pred","sub","val"
"s-03755","drug-DB02100","hasCommonProducer","drug-DB07860","0.0"
"s-02272","drug-DB11089","hasCommonProducer","drug-DB11365","1.0"
"s-02059","drug-DB13879","hasCommonProducer","drug-DB13878","1.0"
"s-16415","disease-DS007424","hasIndication","drug-DB09302","1.0"
"s-00991","drug-DB10797","hasCommonProducer","drug-DB10796","1.0"
"s-08974","drug-DB06812","interactsWith","drug-DB01354","0.0"
"s-00778","drug-DB11114","hasCommonProducer","drug-DB11198","1.0"
"s-07491","drug-DB08867","interactsWith","drug-DB06404","1.0"
"s-13651","drug-DB11839","hasSameState","drug-DB12754","0.0"
"s-07278","drug-DB01204","interactsWith","drug-DB00604","1.0"
"s-01601","drug-DB00281","hasCommonProducer","drug-DB00825","1.0"
"s-10770","drug-DB02601","hasSameState","drug-DB14622","1.0"
"s-13438","drug-DB06692","hasSameState","drug-DB07525","0.0"
"s-08101","drug-DB11661","interactsWith","drug-DB00420","0.0"
"s-10557","drug-DB14465","hasSameState","drug-DB03814","1.0"
"s-05997","drug-DB00213","interactsWith","drug-DB00982","1.0"
"s-24913","drug-DB08242","hasCommonIndication","drug-DB00598","0.0"
"s-23430","drug-DB02078","hasCommonIndication","drug-DB06868","0.0"
"s-06820","drug-DB13014","interactsWith","drug-DB00591","1.0"
"s-18870","disease-DS002496","hasIndication","drug-DB14722","0.0"
"s-23217","drug-DB10698","hasCommonIndication","drug-DB14277","0.0"
"s-06607","drug-DB00726","interactsWith","drug-DB03410","1.0"
"s-18657","disease-DS007609","hasIndication","drug-DB00295","0.0"
"s-05124","drug-DB00601","interactsWith","drug-DB00860","1.0"
"s-17174","disease-DS006174","hasIndication","drug-DB11607","1.0"
"s-21936","drug-DB00446","hasCommonIndication","drug-DB01137","1.0"
"s-20453","drug-DB00006","hasCommonIndication","drug-DB05202","1.0"
"s-03843","drug-DB12101","hasCommonProducer","drug-DB09378","0.0"
"s-15893","disease-DS005355","hasIndication","drug-DB09142","1.0"
"s-02360","drug-DB00381","hasCommonProducer","drug-DB00542","1.0"
"s-14197","drug-DB11588","hasSameState","drug-DB12285","0.0"
"s-02147","drug-DB00936","hasCommonProducer","drug-DB03843","1.0"
"s-16503","disease-DS006154","hasIndication","drug-DB05370","1.0"
"s-15020","disease-DS006615","hasIndication","drug-DB01625","1.0"
"s-00866","drug-DB01050","hasCommonProducer","drug-DB00423","1.0"
"s-08849","drug-DB06812","interactsWith","drug-DB08871","0.0"
"s-07366","drug-DB09338","interactsWith","drug-DB00982","1.0"
"s-13526","drug-DB12369","hasSameState","drug-DB06400","0.0"
"s-10645","drug-DB02919","hasSameState","drug-DB04123","1.0"
"s-22695","drug-DB04686","hasCommonIndication","drug-DB12214","0.0"
"s-12043","drug-DB14631","hasSameState","drug-DB09179","1.0"
"s-04389","drug-DB06499","hasCommonProducer","drug-DB10603","0.0"
"s-23305","drug-DB09036","hasCommonIndication","drug-DB12960","0.0"
"s-18745","disease-DS009366","hasIndication","drug-DB06674","0.0"
"s-05212","drug-DB14713","interactsWith","drug-DB01184","1.0"
"s-17262","disease-DS005355","hasIndication","drug-DB00693","1.0"
